cpu-cycles,instructions,branch-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss ,CPI
0.919273,0.9223,0.004293,0.950043,0.004711,0.032276,0.425827,0.005081,0.001523,0.021538,0.554215367
0.922271,0.940393,0.003856,0.943542,0.004563,0.029631,0.417385,0.005519,0.001559,0.011303,0.547389727
0.918082,0.930337,0.004815,0.945938,0.004809,0.029837,0.420122,0.005107,0.002091,0.011137,0.550096917
0.92238,0.930106,0.004254,0.949171,0.00445,0.030467,0.421649,0.005416,0.002115,0.011099,0.552008936
0.925708,0.938232,0.005058,0.939732,0.004568,0.031325,0.419725,0.005674,0.001671,0.009925,0.549781292
0.91361,0.914454,0.008576,0.926203,0.004475,0.029745,0.421824,0.005107,0.001445,0.008606,0.555378209
0.922971,0.945438,0.003517,0.953635,0.004764,0.031348,0.423354,0.005158,0.001247,0.010005,0.545465537
0.925734,0.933996,0.003605,0.946148,0.00449,0.031119,0.421366,0.004255,0.001839,0.009991,0.55167764
0.916789,0.917595,0.004712,0.947992,0.004613,0.028509,0.42207,0.005468,0.001678,0.01016,0.555298836
0.923071,0.930759,0.004804,0.949356,0.004723,0.031772,0.417216,0.004952,0.002723,0.010786,0.552006892
0.921839,0.93237,0.004079,0.948107,0.004474,0.032413,0.416591,0.005648,0.001951,0.011439,0.550768818
0.92505,0.942509,0.00402,0.948483,0.004214,0.031463,0.419386,0.004874,0.002135,0.011806,0.547616396
0.920975,0.934347,0.003903,0.943797,0.004547,0.031864,0.422983,0.004591,0.001103,0.009773,0.549524958
0.915474,0.9095,0.003804,0.93598,0.004591,0.032299,0.417525,0.004745,0.001747,0.00937,0.558448549
0.925761,0.931337,0.00442,0.951382,0.004688,0.032402,0.41783,0.004359,0.001014,0.010639,0.55287932
0.918119,0.914178,0.004575,0.943704,0.004547,0.031703,0.419009,0.005597,0.00174,0.010489,0.557427038
0.915233,0.922614,0.010314,0.914953,0.005139,0.034623,0.416659,0.006525,0.001464,0.007518,0.552362071
0.902981,0.900059,0.004199,0.92546,0.003941,0.031783,0.41159,0.005158,0.001421,0.010596,0.557448608
0.908467,0.915222,0.004474,0.936392,0.004543,0.033535,0.413172,0.005416,0.000949,0.009042,0.552836704
0.921074,0.923241,0.004442,0.945243,0.004429,0.03199,0.417768,0.004978,0.00149,0.011063,0.55455134
0.922377,0.933618,0.003385,0.946692,0.004728,0.032505,0.418681,0.00521,0.00134,0.01047,0.550437741
0.92245,0.930106,0.003884,0.930155,0.004251,0.031314,0.413617,0.00472,0.001238,0.010441,0.552038378
0.921479,0.924098,0.004234,0.943456,0.004632,0.033718,0.419641,0.005235,0.002166,0.010997,0.554334675
0.919576,0.934638,0.003778,0.949457,0.004538,0.030524,0.418517,0.005081,0.00209,0.011217,0.54880891
0.924971,0.941888,0.00451,0.952312,0.004792,0.034119,0.419201,0.0049,0.002452,0.010659,0.54785671
0.920753,0.920208,0.004559,0.946167,0.004813,0.031806,0.421853,0.005184,0.001857,0.010671,0.555792418
0.920558,0.92626,0.002049,0.940132,0.004289,0.031394,0.420582,0.005003,0.001399,0.010265,0.552969716
0.924634,0.926993,0.009085,0.926863,0.004656,0.032802,0.389699,0.004874,0.001382,0.012137,0.554358923
0.92207,0.943324,0.002394,0.948417,0.00452,0.033089,0.422795,0.004797,0.001411,0.010761,0.546016627
0.917532,0.914987,0.001968,0.932252,0.004505,0.031806,0.421526,0.005029,0.002191,0.009645,0.556805944
0.921837,0.931051,0.002514,0.945899,0.004683,0.032825,0.420302,0.005468,0.002765,0.010693,0.55135718
0.922784,0.92627,0.00333,0.951307,0.004404,0.031864,0.420868,0.025197,0.001684,0.010559,0.553904987
0.922716,0.930755,0.002183,0.950187,0.004433,0.032551,0.41482,0.02463,0.001157,0.010408,0.551859655
0.918369,0.928157,0.002925,0.948141,0.004441,0.032047,0.419017,0.02481,0.001573,0.011728,0.551193648
0.927004,0.947377,0.002478,0.949986,0.004628,0.032802,0.420326,0.025249,0.001274,0.011214,0.546292054
0.925377,0.948255,0.001507,0.945648,0.004509,0.032573,0.419835,0.026203,0.004466,0.009594,0.545233429
0.918976,0.921821,0.002774,0.94567,0.00237,0.033375,0.419645,0.025378,0.014975,0.009821,0.554306474
0.922249,0.930376,0.00306,0.953395,0.002332,0.031417,0.416747,0.025146,0.014847,0.010124,0.551832609
0.920409,0.926629,0.006007,0.937158,0.002294,0.03215,0.403876,0.024991,0.014497,0.010901,0.552740698
0.924027,0.924801,0.004126,0.932137,0.002426,0.032402,0.400749,0.025584,0.015031,0.011481,0.555093636
0.926255,0.939989,0.00098,0.948415,0.002204,0.032253,0.419768,0.025068,0.015216,0.011978,0.549231192
0.921532,0.953465,0.000691,0.947483,0.002606,0.032093,0.419423,0.023186,0.014913,0.011346,0.541381188
0.921523,0.930302,0.000994,0.948109,0.002486,0.032631,0.4217,0.026771,0.015997,0.009969,0.551560725
0.917086,0.916457,0.001015,0.942351,0.002526,0.032562,0.420684,0.023934,0.015935,0.009527,0.555943565
0.925789,0.934127,0.001056,0.94618,0.002674,0.031864,0.418981,0.036236,0.015495,0.009895,0.551642365
0.914159,0.91721,0.00171,0.953141,0.002542,0.028394,0.418452,0.038918,0.012335,0.010709,0.554355212
0.924938,0.935053,0.001145,0.949437,0.002033,0.029459,0.419226,0.044669,0.014228,0.012514,0.55087221
0.922234,0.954491,0.000666,0.948812,0.002438,0.032138,0.418539,0.043122,0.014864,0.01116,0.541228668
0.925413,0.943041,0.000938,0.952599,0.002263,0.032448,0.420822,0.046655,0.016393,0.011048,0.547533328
0.918448,0.915449,0.001344,0.935462,0.001681,0.033375,0.417822,0.043096,0.022279,0.010565,0.556984908
0.918609,0.926475,0.005568,0.932574,0.000159,0.031864,0.386544,0.049544,0.031513,0.0103,0.552049888
0.923059,0.927454,0.001168,0.948327,0.000207,0.032104,0.419749,0.04289,0.028662,0.010405,0.553486916
0.920405,0.925167,0.000214,0.944558,0.000079,0.030856,0.416285,0.047171,0.028435,0.009156,0.553397937
0.91407,0.922124,0.001434,0.948699,0.000132,0.033077,0.418881,0.042425,0.027382,0.009876,0.552090899
0.923185,0.933943,0.001423,0.955831,0.00017,0.030055,0.419122,0.047609,0.030558,0.012275,0.55063161
0.921762,0.946222,0.000471,0.947141,0.000079,0.032184,0.417285,0.042219,0.02787,0.0111,0.54462022
